origin,dest,count
Alcochete,Alcochete,20478
Alcochete,Almada,567
Alcochete,Amadora,188
Alcochete,Barreiro,867
Alcochete,Cascais,114
Alcochete,Lisboa,2840
Alcochete,Loures,634
Alcochete,Moita,261
Alcochete,Montijo,8714
Alcochete,Odivelas,129
Alcochete,Oeiras,130
Alcochete,Palmela,553
Alcochete,Seixal,118
Alcochete,Sesimbra,79
Alcochete,Setubal,453
Alcochete,Sintra,573
Alcochete,VFX,91
Almada,Alcochete,761
Almada,Almada,197248
Almada,Amadora,1726
Almada,Barreiro,1993
Almada,Cascais,765
Almada,Lisboa,37180
Almada,Loures,1369
Almada,Mafra,15
Almada,Moita,464
Almada,Montijo,848
Almada,Odivelas,1133
Almada,Oeiras,1854
Almada,Palmela,538
Almada,Seixal,36018
Almada,Sesimbra,2957
Almada,Setubal,2920
Almada,Sintra,1278
Almada,VFX,767
Amadora,Alcochete,190
Amadora,Almada,3207
Amadora,Amadora,198980
Amadora,Barreiro,212
Amadora,Cascais,3079
Amadora,Lisboa,67532
Amadora,Loures,6079
Amadora,Mafra,517
Amadora,Moita,16
Amadora,Montijo,365
Amadora,Odivelas,11166
Amadora,Oeiras,15385
Amadora,Palmela,131
Amadora,Seixal,2592
Amadora,Sesimbra,192
Amadora,Setubal,893
Amadora,Sintra,32926
Amadora,VFX,1090
Barreiro,Alcochete,855
Barreiro,Almada,1956
Barreiro,Amadora,506
Barreiro,Barreiro,87630
Barreiro,Cascais,35
Barreiro,Lisboa,10637
Barreiro,Loures,106
Barreiro,Moita,14990
Barreiro,Montijo,1973
Barreiro,Odivelas,81
Barreiro,Oeiras,601
Barreiro,Palmela,4658
Barreiro,Seixal,2670
Barreiro,Sesimbra,3800
Barreiro,Setubal,2118
Barreiro,Sintra,923
Barreiro,VFX,119
Cascais,Alcochete,114
Cascais,Almada,932
Cascais,Amadora,4021
Cascais,Barreiro,35
Cascais,Cascais,268462
Cascais,Lisboa,35698
Cascais,Loures,2039
Cascais,Mafra,976
Cascais,Moita,178
Cascais,Montijo,752
Cascais,Odivelas,3086
Cascais,Oeiras,32698
Cascais,Palmela,299
Cascais,Seixal,1373
Cascais,Sesimbra,83
Cascais,Setubal,834
Cascais,Sintra,21105
Cascais,VFX,894
Lisboa,Alcochete,2769
Lisboa,Almada,33125
Lisboa,Amadora,68214
Lisboa,Barreiro,8892
Lisboa,Cascais,35644
Lisboa,Lisboa,875144
Lisboa,Loures,81023
Lisboa,Mafra,8815
