origin,dest,count
Alcochete,Alcochete,12484
Alcochete,Almada,353
Alcochete,Amadora,107
Alcochete,Barreiro,861
Alcochete,Cascais,114
Alcochete,Lisboa,1994
Alcochete,Loures,634
Alcochete,Moita,256
Alcochete,Montijo,7062
Alcochete,Odivelas,129
Alcochete,Oeiras,130
Alcochete,Palmela,299
Alcochete,Seixal,58
Alcochete,Sesimbra,79
Alcochete,Setubal,296
Alcochete,Sintra,524
Alcochete,VFX,91
Almada,Alcochete,498
Almada,Almada,106852
Almada,Amadora,1331
Almada,Barreiro,1972
Almada,Cascais,647
Almada,Lisboa,23131
Almada,Loures,876
Almada,Mafra,15
Almada,Moita,225
Almada,Montijo,738
Almada,Odivelas,1075
Almada,Oeiras,1372
Almada,Palmela,511
Almada,Seixal,28500
Almada,Sesimbra,2611
Almada,Setubal,2528
Almada,Sintra,536
Almada,VFX,685
Amadora,Alcochete,108
Amadora,Almada,2810
Amadora,Amadora,76436
Amadora,Barreiro,141
Amadora,Cascais,2957
Amadora,Lisboa,40353
Amadora,Loures,5334
Amadora,Mafra,488
Amadora,Moita,16
Amadora,Montijo,365
Amadora,Odivelas,8415
Amadora,Oeiras,11308
Amadora,Palmela,131
Amadora,Seixal,1950
Amadora,Sesimbra,104
Amadora,Setubal,893
Amadora,Sintra,23667
Amadora,VFX,728
Barreiro,Alcochete,849
Barreiro,Almada,1639
Barreiro,Amadora,165
Barreiro,Barreiro,48667
Barreiro,Cascais,0
Barreiro,Lisboa,2674
Barreiro,Loures,81
Barreiro,Moita,10847
Barreiro,Montijo,1937
Barreiro,Odivelas,81
Barreiro,Oeiras,467
Barreiro,Palmela,3904
Barreiro,Seixal,2483
Barreiro,Sesimbra,3566
Barreiro,Setubal,1817
Barreiro,Sintra,923
Barreiro,VFX,63
Cascais,Alcochete,114
Cascais,Almada,877
Cascais,Amadora,3899
Cascais,Barreiro,0
Cascais,Cascais,180633
Cascais,Lisboa,25985
Cascais,Loures,1997
Cascais,Mafra,976
Cascais,Moita,178
Cascais,Montijo,565
Cascais,Odivelas,3086
Cascais,Oeiras,28587
Cascais,Palmela,299
Cascais,Seixal,1006
Cascais,Sesimbra,83
Cascais,Setubal,591
Cascais,Sintra,18679
Cascais,VFX,894
Lisboa,Alcochete,1953
Lisboa,Almada,20519
Lisboa,Amadora,41523
Lisboa,Barreiro,1875
Lisboa,Cascais,26516
Lisboa,Lisboa,349815
Lisboa,Loures,51791
Lisboa,Mafra,8074
Lisboa,Moita,1753
Lisboa,Montijo,4466
Lisboa,Odivelas,26468
Lisboa,Oeiras,44846
Lisboa,Palmela,2686
Lisboa,Seixal,8813
Lisboa,Sesimbra,2975
Lisboa,Setubal,2641
Lisboa,Sintra,40144
Lisboa,VFX,18003
Loures,Alcochete,312
Loures,Almada,628
Loures,Amadora,5239
Loures,Barreiro,81
Loures,Cascais,2633
Loures,Lisboa,50809
Loures,Loures,111399
Loures,Mafra,6944
Loures,Moita,45
Loures,Montijo,254
Loures,Odivelas,16732
Loures,Oeiras,1977
Loures,Palmela,433
Loures,Seixal,613
Loures,Sesimbra,212
Loures,Setubal,437
Loures,Sintra,6108
Loures,VFX,10860
Mafra,Alcochete,7
Mafra,Almada,26
Mafra,Amadora,476
Mafra,Cascais,927
Mafra,Lisboa,8550
Mafra,Loures,6618
Mafra,Mafra,73570
Mafra,Montijo,23
Mafra,Odivelas,1507
Mafra,Oeiras,754
Mafra,Palmela,34
Mafra,Sesimbra,202
Mafra,Setubal,47
Mafra,Sintra,4488
Mafra,VFX,333
Moita,Alcochete,235
Moita,Almada,73
Moita,Amadora,16
Moita,Barreiro,10668
Moita,Cascais,178
Moita,Lisboa,2725
Moita,Loures,45
Moita,Moita,27998
Moita,Montijo,1885
Moita,Odivelas,298
Moita,Oeiras,23
Moita,Palmela,2736
Moita,Seixal,1448
Moita,Sesimbra,821
Moita,Setubal,1044
Moita,Sintra,481
Moita,VFX,474
Montijo,Alcochete,6758
Montijo,Almada,846
Montijo,Amadora,545
Montijo,Barreiro,1720
Montijo,Cascais,686
Montijo,Lisboa,3481
Montijo,Loures,270
Montijo,Mafra,0
Montijo,Moita,2591
Montijo,Montijo,40435
Montijo,Odivelas,30
Montijo,Oeiras,315
Montijo,Palmela,5384
Montijo,Seixal,1021
Montijo,Sesimbra,120
Montijo,Setubal,2603
Montijo,VFX,184
Odivelas,Alcochete,441
Odivelas,Almada,1064
Odivelas,Amadora,8134
Odivelas,Barreiro,25
Odivelas,Cascais,3169
Odivelas,Lisboa,24736
Odivelas,Loures,16183
Odivelas,Mafra,1301
Odivelas,Moita,338
Odivelas,Montijo,30
Odivelas,Odivelas,73338
Odivelas,Oeiras,3670
Odivelas,Palmela,183
Odivelas,Seixal,801
Odivelas,Sesimbra,77
Odivelas,Setubal,106
Odivelas,Sintra,7264
Odivelas,VFX,1103
Oeiras,Alcochete,125
Oeiras,Almada,1717
Oeiras,Amadora,10676
Oeiras,Barreiro,397
Oeiras,Cascais,29358
Oeiras,Lisboa,44697
Oeiras,Loures,2329
Oeiras,Mafra,827
Oeiras,Moita,58
Oeiras,Montijo,169
Oeiras,Odivelas,3628
Oeiras,Oeiras,110224
Oeiras,Palmela,616
Oeiras,Seixal,1442
Oeiras,Sesimbra,468
Oeiras,Setubal,740
Oeiras,Sintra,19388
Oeiras,VFX,667
Palmela,Alcochete,193
Palmela,Almada,602
Palmela,Amadora,86
Palmela,Barreiro,3567
Palmela,Cascais,337
Palmela,Lisboa,3421
Palmela,Loures,504
Palmela,Mafra,64
Palmela,Moita,3334
Palmela,Montijo,5158
Palmela,Odivelas,59
Palmela,Oeiras,687
Palmela,Palmela,52040
Palmela,Seixal,2113
Palmela,Sesimbra,2124
Palmela,Setubal,14221
Palmela,Sintra,421
Palmela,VFX,160
Seixal,Alcochete,172
Seixal,Almada,28261
Seixal,Amadora,2591
Seixal,Barreiro,3491
Seixal,Cascais,876
Seixal,Lisboa,7287
Seixal,Loures,616
Seixal,Moita,908
Seixal,Montijo,1019
Seixal,Odivelas,657
Seixal,Oeiras,1523
Seixal,Palmela,2498
Seixal,Seixal,103757
Seixal,Sesimbra,5201
Seixal,Setubal,2079
Seixal,Sintra,620
Seixal,VFX,1046
Sesimbra,Almada,2561
Sesimbra,Amadora,201
Sesimbra,Barreiro,3368
Sesimbra,Cascais,76
Sesimbra,Lisboa,3225
Sesimbra,Loures,203
Sesimbra,Mafra,227
Sesimbra,Moita,813
Sesimbra,Montijo,240
Sesimbra,Odivelas,90
Sesimbra,Oeiras,477
Sesimbra,Palmela,2024
Sesimbra,Seixal,5401
Sesimbra,Sesimbra,39661
Sesimbra,Setubal,4369
Sesimbra,Sintra,184
Sesimbra,VFX,93
Setubal,Alcochete,450
Setubal,Almada,2178
Setubal,Amadora,913
Setubal,Barreiro,2003
Setubal,Cascais,91
Setubal,Lisboa,4483
Setubal,Loures,507
Setubal,Mafra,47
Setubal,Moita,501
Setubal,Montijo,1769
Setubal,Odivelas,63
Setubal,Oeiras,737
Setubal,Palmela,16783
Setubal,Seixal,2352
Setubal,Sesimbra,4447
Setubal,Setubal,123742
Setubal,Sintra,48
Setubal,VFX,41
Sintra,Alcochete,276
Sintra,Almada,673
Sintra,Amadora,21913
Sintra,Barreiro,984
Sintra,Cascais,18784
Sintra,Lisboa,40166
Sintra,Loures,6260
Sintra,Mafra,4482
Sintra,Moita,481
Sintra,Montijo,0
Sintra,Odivelas,7497
Sintra,Oeiras,19672
Sintra,Palmela,388
Sintra,Seixal,651
Sintra,Sesimbra,191
Sintra,Setubal,52
Sintra,Sintra,238057
Sintra,VFX,835
VFX,Alcochete,96
VFX,Almada,981
VFX,Amadora,719
VFX,Barreiro,38
VFX,Cascais,949
VFX,Lisboa,16830
VFX,Loures,11011
VFX,Mafra,311
VFX,Moita,449
VFX,Montijo,425
VFX,Odivelas,1250
VFX,Oeiras,748
VFX,Palmela,125
VFX,Seixal,1042
