origin,dest,count
Alcochete,Alcochete,833
Alcochete,Almada,0
Alcochete,Amadora,81
Alcochete,Barreiro,5
Alcochete,Cascais,0
Alcochete,Lisboa,775
Alcochete,Loures,0
Alcochete,Moita,5
Alcochete,Montijo,1431
Alcochete,Odivelas,0
Alcochete,Oeiras,0
Alcochete,Palmela,243
Alcochete,Seixal,0
Alcochete,Sesimbra,0
Alcochete,Setubal,157
Alcochete,Sintra,25
Alcochete,VFX,0
Almada,Alcochete,49
Almada,Almada,27342
Almada,Amadora,393
Almada,Barreiro,21
Almada,Cascais,116
Almada,Lisboa,12322
Almada,Loures,475
Almada,Mafra,0
Almada,Moita,239
Almada,Montijo,110
Almada,Odivelas,58
Almada,Oeiras,428
Almada,Palmela,21
Almada,Seixal,3811
Almada,Sesimbra,216
Almada,Setubal,283
Almada,Sintra,731
Almada,VFX,72
Amadora,Alcochete,81
Amadora,Almada,396
Amadora,Amadora,13723
Amadora,Barreiro,71
Amadora,Cascais,113
Amadora,Lisboa,24353
Amadora,Loures,489
Amadora,Mafra,28
Amadora,Moita,0
Amadora,Montijo,0
Amadora,Odivelas,1630
Amadora,Oeiras,2757
Amadora,Palmela,0
Amadora,Seixal,642
Amadora,Sesimbra,88
Amadora,Setubal,0
Amadora,Sintra,5818
Amadora,VFX,27
Barreiro,Alcochete,5
Barreiro,Almada,317
Barreiro,Amadora,341
Barreiro,Barreiro,5877
Barreiro,Cascais,35
Barreiro,Lisboa,7898
Barreiro,Loures,5
Barreiro,Moita,1634
Barreiro,Montijo,37
Barreiro,Odivelas,0
Barreiro,Oeiras,134
Barreiro,Palmela,754
Barreiro,Seixal,186
Barreiro,Sesimbra,172
Barreiro,Setubal,208
Barreiro,Sintra,0
Barreiro,VFX,56
Cascais,Alcochete,0
Cascais,Almada,55
Cascais,Amadora,113
Cascais,Barreiro,35
Cascais,Cascais,17365
Cascais,Lisboa,9202
Cascais,Loures,42
Cascais,Mafra,0
Cascais,Moita,0
Cascais,Montijo,187
Cascais,Odivelas,0
Cascais,Oeiras,2642
Cascais,Palmela,0
Cascais,Seixal,354
Cascais,Sesimbra,0
Cascais,Setubal,232
Cascais,Sintra,2269
Cascais,VFX,0
Lisboa,Alcochete,816
Lisboa,Almada,11305
Lisboa,Amadora,23754
Lisboa,Barreiro,7014
Lisboa,Cascais,8841
Lisboa,Lisboa,202428
Lisboa,Loures,24911
Lisboa,Mafra,741
Lisboa,Moita,2798
Lisboa,Montijo,1712
Lisboa,Odivelas,20107
Lisboa,Oeiras,15413
Lisboa,Palmela,2152
Lisboa,Seixal,11535
Lisboa,Sesimbra,1655
Lisboa,Setubal,1654
Lisboa,Sintra,25768
Lisboa,VFX,10189
Loures,Alcochete,0
Loures,Almada,458
